prompt,target
"In this case, a review of security procedures showed that the system worked and ""successfully identified the individual in question,"" he said.",not_entailment
"""Bravery,"" says Isabel Toledo, designer of the first lady's attention-grabbing lemongrass yellow wool and lace ensemble that she wore for the inauguration of her husband President Obama.",not_entailment
"The Kyrgyz order became effective on Friday when President Kurmanbek Bakiyev reportedly signed legislation that the parliament in Bishkek backed on Thursday, the Pentagon said.",1
The International Committee of the Red Cross said on Monday that one of its employees was killed in western Darfur last week during fighting.,not_entailment
"CNN: What was distinctive about the Gibson Les Paul when it came out, and what remains distinctive about it?",1
(CNN)  -- England international footballer Steven Gerrard was found not guilty of affray by a court in his home city on Friday.,not_entailment
"(CNN) -- Fighting in the volatile Sudanese region of Darfur has sparked another wave of refugees into Chad and left a Red Cross employee dead, according to international agencies.",1
"To add insult to injury, Chedjou was shown a straight red for hauling down last-man Gedo midway through the second period of extra-time with Egypt going on to seal a memorable win.",not_entailment
"delete tweet!""",not_entailment
"The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.",not_entailment
"TEHRAN, Iran (CNN) -- Iran's parliament speaker has criticized U.S. President-elect Barack Obama for saying that Iran's development of a nuclear weapon is unacceptable.",1
"The number represents 1,424 families, at least 70 more families than were reported to be displaced on Wednesday.",1
"Strank was killed in action on the island on March 1, 1945, less than a month before the battle between Japanese and U.S. forces there ended.",not_entailment
"""Obama must know that the change that he talks about is not simply a superficial changing of colors or tactics,"" Larijani said in comments carried by the semi-official Mehr News Agency.",not_entailment
"Michael Strank, who was born in Czechoslovakia and came to the United States when he was 3, derived U.S. citizenship when his father was naturalized in 1935.",1
"(CNN) -- A former government contract employee was indicted on charges of stealing restricted nuclear energy-related materials and putting the United States at risk, the Department of Justice announced Thursday.",1
(CNN) -- The nation will take roll call in 2010 and the federal government is giving the states money to hire thousands of census workers.,1
The Marine Corps War Memorial in Virginia depicts Strank and five others raising a flag on Iwo Jima.,not_entailment
"Watch the report from KABC



The Navy is also hiring machinists and clerical workers.",not_entailment
"With food banks across the country reporting shortages of food, the donation was a welcome one, said the food bank's director of development, Christopher Wiley.",1
"(CNN)  -- When Kellogg's dumped its endorsement of Michael Phelps after a photograph surfaced of the Olympic gold medalist using a bong, the company was stuck with thousands of boxes of cereal featuring the swimmer's image.",not_entailment
"He urged the authorities and the head of Mazare's Social Democrat party to show that message ""will be strongly countermanded.""",not_entailment
Administrators received several calls from people wanting to get the box as a novelty item.,not_entailment
"Markoff is charged with the April 14 fatal shooting and attempted robbery of Julissa Brisman, 25, and the armed robbery of a 29-year-old Las Vegas woman on April 10.",1
"Police launched a huge manhunt Wednesday after a passenger appeared to flee from security officers when his laptop computer bag tested positive for explosives, they said.",1
Officials in Washington and Bishkek signed a deal three years ago allowing the United States to renew the arrangement annually through July 2011.,not_entailment
The Marine Corps War Memorial in Virginia depicts Strank and five others raising a flag on Iwo Jima.,not_entailment
"The indictment states that Oakley, ""having possession of, access to and having been entrusted with sections of 'barriers' and associated hardware used for uranium enrichment through the process of gaseous diffusion ... having reason to believe that such data would be utilized to injure the United States and secure an advantage to a foreign nation, did communicate, transmit and disclose such data to another person.""",not_entailment
"The girl was found in midtown Manhattan around 12:30 a.m. October 9 outside the Covenant House youth shelter, although the organization tells CNN that she was not a resident at the time and did not appear as if she intended to seek refuge at the facility.",1
"Katz said Mazare was sending a message ""that to wear Nazi uniforms and to march the Nazi steps is legal and 'in vogue' in Romania.""",not_entailment
"TEHRAN, Iran (CNN) -- Iran's parliament speaker has criticized U.S. President-elect Barack Obama for saying that Iran's development of a nuclear weapon is unacceptable.",1
"Dressed in a traditional Libyan cap and robe, he elaborated on what he believes is the unfairness of the structure of the U.N. Security Council, which has five permanent members -- the United States, Russia, China, France and Britain, each with veto power.",1
"(CNN) -- Fighting in the volatile Sudanese region of Darfur has sparked another wave of refugees into Chad and left a Red Cross employee dead, according to international agencies.",not_entailment
"Kellogg's ended its Michael Phelps endorsement, so it sent two tons of cereal with his face on it to a food bank.",1
"Some Shiite Muslims lash themselves until they bleed when marking the mourning period of Ashura, while fasting is practiced by people in several religions, including Jews on Yom Kippur, the day of atonement.",not_entailment
Moninder Singh Pandher was sentenced to death by a lower court in February.,1
"Prosecutors said Brisman, a model from New York who advertised as a masseuse on Craigslist, was shot three times at close range and suffered blunt head trauma at the Marriott Copley Place hotel.",not_entailment
"United Nations (CNN) -- Confronted with the prospect of a Palestinian bid for full U.N. membership, U.S. President Barack Obama issued a sharp rebuke Wednesday to those pressing for statehood -- a rebuke likely to bring criticism from the Arab world.",not_entailment
"The 29-year-old was the only one of the seven defendants in the case to be cleared after an incident which was described by judge Henry Globe as an ""explosion of violence.""",1
"The U.N. High Commissioner for Refugees said on Monday that more than 12,000 people have fled militia attacks over the last few days from Sudan's Darfur region to neighboring Chad, still recovering from a recent attempt by rebels there to topple the government.",1
Manas Air Base in Kyrgyzstan serves as a U.S. supply route for troops and supplies into Afghanistan.,1
"(CNN) -- Pope John Paul II used to beat himself with a belt and sleep on a bare floor to bring himself closer to Christ, a book published Wednesday says.",1
"Gadhafi called for world unity in confronting various world crises, such as climate change and food shortages, but he aimed his ire at the world body and the United States.",1
(CNN) -- Jewish organizations called for a Romanian official to resign and face a criminal investigation after he wore a Nazi uniform during a fashion show over the weekend.,1
"He says ""Entourage"" would make a great film.",1
"Kellogg's ended its Michael Phelps endorsement, so it sent two tons of cereal with his face on it to a food bank.",1
"Gadhafi called for world unity in confronting various world crises, such as climate change and food shortages, but he aimed his ire at the world body and the United States.",not_entailment
"CNN: Anything is possible, even in some 40 some movies in your career, but this is the first lead in a while, I mean did it take you a while to get into the used car salesman character?",not_entailment
"Roy Lynn Oakley, 67, of Roane County, Tennessee, appeared in federal court in Knoxville on Thursday.",1
Ali Larijani said Saturday that Obama should apply his campaign message of change to U.S. dealings with Iran.,1
Ali Larijani said Saturday that Obama should apply his campaign message of change to U.S. dealings with Iran.,1
"""We need workers so we can get good addresses [to] send the questionnaires out so we can get a good response,"" state census bureau official Darryl Lee told TV Alabama in Birmingham.",1
"The government alleges that in January, Oakley attempted to sell the ""pieces of scrap"" to someone he thought was a French agent -- but in reality was an undercover FBI agent, Moncier said.",1
"He was someone who could see what was going to happen 50 years in advance, and very often, he was able to bring his vision to reality and share it with the entire musical community.",not_entailment
"""Fashion is being hit particularly hard in the new job market.",1
"(CNN) -- Fighting in the volatile Sudanese region of Darfur has sparked another wave of refugees into Chad and left a Red Cross employee dead, according to international agencies.",not_entailment
"Within 48 hours of debuting with tweets about family, work and politics, Murdoch had pulled in more than 45,000 followers and stirred internet debate over why the 80-year-old was now embracing a technology often used to attack him.",1
Citizenship and Immigration Services recently discovered that Strank never was given citizenship papers.,not_entailment
"Within 48 hours of debuting with tweets about family, work and politics, Murdoch had pulled in more than 45,000 followers and stirred internet debate over why the 80-year-old was now embracing a technology often used to attack him.",1
"Within 48 hours of debuting with tweets about family, work and politics, Murdoch had pulled in more than 45,000 followers and stirred internet debate over why the 80-year-old was now embracing a technology often used to attack him.",1
"Michael Strank, who was born in Czechoslovakia and came to the United States when he was 3, derived U.S. citizenship when his father was naturalized in 1935.",1
"Pandher was not named a main suspect by investigators initially, but was summoned as co-accused during the trial, Kochar said.",not_entailment
Moninder Singh Pandher was sentenced to death by a lower court in February.,1
(CNN) -- Barcelona midfielder Alexander Hleb has turned down a move to Inter Milan in favor of returning to Bundesliga club Stuttgart on loan for the season.,1
(CNN) -- Jewish organizations called for a Romanian official to resign and face a criminal investigation after he wore a Nazi uniform during a fashion show over the weekend.,not_entailment
"Read the story on KMGH



In Idaho, Dave Mulvihill, manager of the state's census bureau, said the organization will hire 1,200 workers.",1
"Kellogg's ended its Michael Phelps endorsement, so it sent two tons of cereal with his face on it to a food bank.",1
"In the fracas which followed, Gerrard admitted throwing three punches but said only one connected.",not_entailment
"(CNN) -- Fighting in the volatile Sudanese region of Darfur has sparked another wave of refugees into Chad and left a Red Cross employee dead, according to international agencies.",1
He previously had pleaded not guilty in the city court and is being held without bail.,not_entailment
"Police originally said authorities wanted to take the man in for further testing after his bag set off suspicions, but he ran.",not_entailment
"The Caucasian young woman, described by New York ACS as ""very soft-spoken,"" is 5 feet, 6 inches tall, light-skinned, with short, straight, cropped blond hair and blue eyes.",1
Census officials point out that an accurate count of U.S. citizens helps the government figure out how much funding to give each state for federally sponsored programs.,not_entailment
"(CNN)  -- When Kellogg's dumped its endorsement of Michael Phelps after a photograph surfaced of the Olympic gold medalist using a bong, the company was stuck with thousands of boxes of cereal featuring the swimmer's image.",1
"""We're looking to bring on about a thousand people here,"" said Scott O'Neil, executive director of the Naval Air Warfare Center Weapons Division.",not_entailment
"""I'm glad to put this case behind me and I am really looking forward to the season ahead and concentrating on my football now.",not_entailment
"Watch Markoff in court »



The grand jury returned the indictment late Thursday, and it moves the case from Boston Municipal Court to Suffolk Superior Court, where Markoff entered his not guilty plea on Monday.",not_entailment
"Allen Sowell, the suspect's half-brother, told CNN he last saw his brother more than 20 years ago.",not_entailment
"""It was a surprise to us.",not_entailment
"All planes in the area of Terminal 2, where the incident took place, were evacuated and all luggage was removed, police said.",1
"(CNN) -- Fighting in the volatile Sudanese region of Darfur has sparked another wave of refugees into Chad and left a Red Cross employee dead, according to international agencies.",1
Philip Markoff is charged with killing a woman and robbing another in Boston hotels in April.,not_entailment
(CNN) -- Jewish organizations called for a Romanian official to resign and face a criminal investigation after he wore a Nazi uniform during a fashion show over the weekend.,1
"Piven: Well, I think ""Entourage"" ... this season is the sixth season, and it's I think the most interesting of all of them, and I kind of have the best arc this year.",1
"Cleveland, Ohio (CNN) -- The niece of the mayor of Cleveland, Ohio, once lived with murder suspect Anthony Sowell, a registered sex offender charged with murder after the remains of 11 victims were found at his home, a spokeswoman for the mayor said Monday.",1
"TEHRAN, Iran (CNN) -- Iran's parliament speaker has criticized U.S. President-elect Barack Obama for saying that Iran's development of a nuclear weapon is unacceptable.",1
Manas Air Base in Kyrgyzstan serves as a U.S. supply route for troops and supplies into Afghanistan.,1
"The United States pays $17.4 million a year to use Manas, a major logistical and refueling center that supports troops in Afghanistan, the Pentagon said.",not_entailment
"Within 48 hours of debuting with tweets about family, work and politics, Murdoch had pulled in more than 45,000 followers and stirred internet debate over why the 80-year-old was now embracing a technology often used to attack him.",1
"They are still trying to find the man, they said, but are no longer describing the search as a huge manhunt.",1
"Roy Lynn Oakley, 67, of Roane County, Tennessee, appeared in federal court in Knoxville on Thursday.",1
Alexander Hleb is presented to the media after completing his loan move to former club Stuttgart.,not_entailment
(CNN) -- Two goals in five minutes at the start of extra-time helped defending champions Egypt book their place in the African Nations Cup semifinals with a battling 3-1 victory over Cameroon.,1
"The late pope had a particular belt for self-flagellation and brought it with him to his summer residence, according to the book, ""Why he is a Saint: The True story of John Paul II.""",not_entailment
"The American president met with Israeli Prime Minister Benjamin Netanyahu and declared the bonds between their two countries ""unbreakable,"" a move likely to play well at home in an increasingly volatile U.S. political landscape.",1
"BOSTON, Massachusetts (CNN) -- A 23-year-old medical student pleaded not guilty Monday to an indictment alleging first-degree murder charge in a killing tied to Craigslist.",1
"He was someone who could see what was going to happen 50 years in advance, and very often, he was able to bring his vision to reality and share it with the entire musical community.",not_entailment
"They do not have the laptop case, they said.",not_entailment
"(CNN) -- Kyrgyzstan's president signed a bill Friday to close an air base that the U.S. military uses as a route for troops and supplies heading into Afghanistan, the president announced on his Web site.",not_entailment
(CNN)  -- England international footballer Steven Gerrard was found not guilty of affray by a court in his home city on Friday.,1
"(CNN) -- A phone hacking scandal may have cost Rupert Murdoch his biggest-selling newspaper in 2011, but the billionaire media mogul managed to end the year with a modest addition to his empire -- an account on Twitter.",not_entailment
Hleb told Stuttgart's official Web site he had moved to Markus Babbel's side because of their prospects for the coming season.,not_entailment
"The indictment states that Oakley, ""having possession of, access to and having been entrusted with sections of 'barriers' and associated hardware used for uranium enrichment through the process of gaseous diffusion ... having reason to believe that such data would be utilized to injure the United States and secure an advantage to a foreign nation, did communicate, transmit and disclose such data to another person.""",not_entailment
"Police launched a huge manhunt Wednesday after a passenger appeared to flee from security officers when his laptop computer bag tested positive for explosives, they said.",not_entailment
"Within 48 hours of debuting with tweets about family, work and politics, Murdoch had pulled in more than 45,000 followers and stirred internet debate over why the 80-year-old was now embracing a technology often used to attack him.",1
"Les Paul was constantly making recommendations on how to improve guitars, says the CEO of Gibson.",1
"Within 48 hours of debuting with tweets about family, work and politics, Murdoch had pulled in more than 45,000 followers and stirred internet debate over why the 80-year-old was now embracing a technology often used to attack him.",not_entailment
"On another occasion she is said to have recalled certain words, which turned out to be an excerpt from the fantasy novel ""Fool's Fate"" by Robin Hobb.",not_entailment
"And then I guess after she left, he told me that it was Ray's Sausage.""",not_entailment
That will make you able to do what you want on any level.,not_entailment
Philip Markoff is charged with killing a woman and robbing another in Boston hotels in April.,1
Philip Markoff is charged with killing a woman and robbing another in Boston hotels in April.,1
Pandher and his domestic employee Surinder Koli were sentenced to death in February by a lower court for the rape and murder of the 14-year-old.,1
"Within 48 hours of debuting with tweets about family, work and politics, Murdoch had pulled in more than 45,000 followers and stirred internet debate over why the 80-year-old was now embracing a technology often used to attack him.",not_entailment
"They do not have the laptop case, they said.",not_entailment
"A Massachusetts grand jury late last week indicted him on seven counts, including first-degree murder.",not_entailment
"Within 48 hours of debuting with tweets about family, work and politics, Murdoch had pulled in more than 45,000 followers and stirred internet debate over why the 80-year-old was now embracing a technology often used to attack him.",1
(CNN) -- Two goals in five minutes at the start of extra-time helped defending champions Egypt book their place in the African Nations Cup semifinals with a battling 3-1 victory over Cameroon.,1
"Cleveland, Ohio (CNN) -- The niece of the mayor of Cleveland, Ohio, once lived with murder suspect Anthony Sowell, a registered sex offender charged with murder after the remains of 11 victims were found at his home, a spokeswoman for the mayor said Monday.",1
"Of course, the popular actor can do much more than that to captivate audiences.",not_entailment
"Strank was killed in action on the island on March 1, 1945, less than a month before the battle between Japanese and U.S. forces there ended.",1
But he also suggested that Tutu calm down.,not_entailment
He also said he would help mount an international effort to prevent it from happening.,not_entailment
"All that remains of one of them is a skull, wrapped in a paper bag and stuffed into a bucket in the basement.",not_entailment
"Radu Mazare, the mayor of the town of Constanta, wore a Nazi uniform during a fashion show over the weekend.",not_entailment
She was never deployed.,not_entailment
"But along with bravery about their fashion sense, new graduates at the Savannah College of Art and Design (SCAD) will need courage in the face of the current recession.",1
"The Internet was designed to have no central point of failure, allowing anyone to run his or her own communications channel.",1
The news came as two other central Asian nations -- Tajikistan and Uzbekistan -- reportedly agreed to let U.S. cargo pass through their countries on the way to Afghanistan.,1
"Lisa Pagan, of Davidson, North Carolina, reported for duty Monday morning at Fort Benning, Georgia, with her two preschool children.",1
"Gonzalez, 34, attends Bradenton Beauty and Barber Academy.",not_entailment
(CNN) -- Barcelona midfielder Alexander Hleb has turned down a move to Inter Milan in favor of returning to Bundesliga club Stuttgart on loan for the season.,1
"TEHRAN, Iran (CNN) -- Iran's parliament speaker has criticized U.S. President-elect Barack Obama for saying that Iran's development of a nuclear weapon is unacceptable.",not_entailment
"The game, though, was marred by a controversial third goal by midfielder Ahmed Hassan which was allowed to stand by referee Jerome Damon despite replays showing the ball had clearly not crossed the line.",not_entailment
Nilsson enjoyed the process.,not_entailment
The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.,1
"""The victim's consequential actions of reeling backwards and then forwards and your actions in response to that movement forward has to be seen against that background,"" he added.",not_entailment
"Johannesburg (CNN) -- Miffed by a visa delay that led the Dalai Lama to cancel a trip to South Africa, Archbishop Desmond Tutu lashed out at his government Tuesday, saying it had acted worse than apartheid regimes and had forgotten all that the nation stood for.",1
"Police launched a huge manhunt Wednesday after a passenger appeared to flee from security officers when his laptop computer bag tested positive for explosives, they said.",1
"Oakley is a former employee of Bechtel Jacobs, the Department of Energy's prime environmental management contractor at the East Tennessee Technology Park, prosecutors said.",1
The news came as two other central Asian nations -- Tajikistan and Uzbekistan -- reportedly agreed to let U.S. cargo pass through their countries on the way to Afghanistan.,1
"United Nations (CNN) -- Confronted with the prospect of a Palestinian bid for full U.N. membership, U.S. President Barack Obama issued a sharp rebuke Wednesday to those pressing for statehood -- a rebuke likely to bring criticism from the Arab world.",1
"The late pope had a particular belt for self-flagellation and brought it with him to his summer residence, according to the book, ""Why he is a Saint: The True story of John Paul II.""",not_entailment
CNN attempts to contact Mazare were unsuccessful.,not_entailment
(CNN) -- Two goals in five minutes at the start of extra-time helped defending champions Egypt book their place in the African Nations Cup semifinals with a battling 3-1 victory over Cameroon.,1
How far is Manas from Afghanistan?,not_entailment
"Hundreds of Christians took to the streets in Mosul and surrounding villages and towns, demanding adequate representation on provincial councils, whose members will be chosen in the local elections.",not_entailment
"""What is expected is a change in strategy, not the repetition of objections to Iran's nuclear program, which will be taking a step in the wrong direction.""",not_entailment
"View our map Â»

Tajikistan and Uzbekistan, two other Central Asian nations that border Afghanistan, have agreed to allow U.S. cargo to be transported to Afghanistan through their countries, the Russian news agency Interfax reported Friday.",1
"Police launched a huge manhunt Wednesday after a passenger appeared to flee from security officers when his laptop computer bag tested positive for explosives, they said.",1
"Johannesburg (CNN) -- Miffed by a visa delay that led the Dalai Lama to cancel a trip to South Africa, Archbishop Desmond Tutu lashed out at his government Tuesday, saying it had acted worse than apartheid regimes and had forgotten all that the nation stood for.",1
"In this case, a review of security procedures showed that the system worked and ""successfully identified the individual in question,"" he said.",not_entailment
"Some were canceled and others were delayed, the airport said, adding that activity has slowly begun to return to normal.",not_entailment
Alexander Hleb is presented to the media after completing his loan move to former club Stuttgart.,1
The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.,1
"Cleveland, Ohio (CNN) -- The niece of the mayor of Cleveland, Ohio, once lived with murder suspect Anthony Sowell, a registered sex offender charged with murder after the remains of 11 victims were found at his home, a spokeswoman for the mayor said Monday.",1
"Children's Services said the girl recently wrote down the name ""Amber"" and has responded to it on one occasion, but she has no idea whether it is her true name.",1
(CNN) -- Jewish organizations called for a Romanian official to resign and face a criminal investigation after he wore a Nazi uniform during a fashion show over the weekend.,1
"Allen Sowell, the suspect's half-brother, told CNN he last saw his brother more than 20 years ago.",not_entailment
"A Tajik government statement said only that the two sides discussed the issue, but a spokesman for the Tajik foreign ministry told CNN that ""practically all issues"" to allow U.S. cargo transit through the country have been resolved.",not_entailment
"Palestinian Authority President Mahmoud Abbas met with Obama later Wednesday, part of a whirlwind of diplomatic wrangling that has accompanied his proposed move.",not_entailment
(CNN) -- Jewish organizations called for a Romanian official to resign and face a criminal investigation after he wore a Nazi uniform during a fashion show over the weekend.,1
They accepted the Liverpool captain's version that he acted in self defense in punching businessman Marcus McGhee.,1
"""Very experienced people that might be looking for a job, too, we need them as well, and those jobs would be more like $100,000.""",not_entailment
"""Fashion is being hit particularly hard in the new job market.",1
"Kellogg's ended its Michael Phelps endorsement, so it sent two tons of cereal with his face on it to a food bank.",1
(CNN) -- Barcelona midfielder Alexander Hleb has turned down a move to Inter Milan in favor of returning to Bundesliga club Stuttgart on loan for the season.,1
U.S. Defense Secretary Robert Gates said Friday the United States will continue to work with Kyrgyzstan on keeping the base open.,1
"The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.",not_entailment
"Roy Lynn Oakley, 67, of Roane County, Tennessee, appeared in federal court in Knoxville on Thursday.",1
"And then I guess after she left, he told me that it was Ray's Sausage.""",not_entailment
"""You have to wake me up and tell me this is actually happening here.""",not_entailment
"""I'm a human being.",not_entailment
Moninder Singh Pandher was sentenced to death by a lower court in February.,1
"Within 48 hours of debuting with tweets about family, work and politics, Murdoch had pulled in more than 45,000 followers and stirred internet debate over why the 80-year-old was now embracing a technology often used to attack him.",1
England international Steven Gerrard was cleared by a court in Liverpool of affray.,1
"The suspects included 45 men from al Qaeda in Iraq and 21 suspected terrorists from an umbrella group of al Qaeda in Iraq known as The Islamic State of Iraq, the statement said.",1
"Les Paul was constantly making recommendations on how to improve guitars, says the CEO of Gibson.",1
"To add insult to injury, Chedjou was shown a straight red for hauling down last-man Gedo midway through the second period of extra-time with Egypt going on to seal a memorable win.",not_entailment
Prosecutors said the materials involved have been examined by scientists and posed no threat to people who may have come into contact with them.,not_entailment
"Police launched a huge manhunt Wednesday after a passenger appeared to flee from security officers when his laptop computer bag tested positive for explosives, they said.",1
"""We need workers so we can get good addresses [to] send the questionnaires out so we can get a good response,"" state census bureau official Darryl Lee told TV Alabama in Birmingham.",1
"The passengers had to leave the secure area and be rescreened, an airport representative told CNN, adding that the airport was otherwise operating normally.",not_entailment
"Jeremy Piven stars as a used car salesman in ""The Goods.""",1
"The government alleges that in January, Oakley attempted to sell the ""pieces of scrap"" to someone he thought was a French agent -- but in reality was an undercover FBI agent, Moncier said.",1
"NEW DELHI, India (CNN) -- A high court in northern India on Friday acquitted a wealthy businessman facing the death sentence for the killing of a teen in a case dubbed ""the house of horrors.""",1
WASHINGTON (CNN) -- One of the Marines shown in a famous World War II photograph raising the U.S. flag on Iwo Jima was posthumously awarded a certificate of U.S. citizenship on Tuesday.,1
"Lori Frazier, niece of Mayor Frank Jackson, had a relationship with Sowell that ended two years ago, said Andrea Taylor, a spokeswoman for Jackson's office.",1
"Read the ABC 33/40 story



Northeast: Rhode Island strip club holding job fair



Business is so good at the Foxy Lady in Providence, Rhode Island, that owners need to hire 25 to 30 more people.",1
"Fourteen Christians have been slain in the past two weeks in the city, which is about 260 miles (420 kilometers) north of Baghdad.",1
"On another occasion she is said to have recalled certain words, which turned out to be an excerpt from the fantasy novel ""Fool's Fate"" by Robin Hobb.",not_entailment
Designer Yigal Azrouël talks with students at the Savannah College of Art and Design.,1
"The number represents 1,424 families, at least 70 more families than were reported to be displaced on Wednesday.",1
"Within 48 hours of debuting with tweets about family, work and politics, Murdoch had pulled in more than 45,000 followers and stirred internet debate over why the 80-year-old was now embracing a technology often used to attack him.",not_entailment
"On another occasion she is said to have recalled certain words, which turned out to be an excerpt from the fantasy novel ""Fool's Fate"" by Robin Hobb.",not_entailment
(CNN) -- Two goals in five minutes at the start of extra-time helped defending champions Egypt book their place in the African Nations Cup semifinals with a battling 3-1 victory over Cameroon.,1
That will make you able to do what you want on any level.,not_entailment
The victim is a 45-year-old Sudanese national and father of six children.,not_entailment
"And then I guess after she left, he told me that it was Ray's Sausage.""",not_entailment
"Radu Mazare, the mayor of the town of Constanta, wore a Nazi uniform during a fashion show over the weekend.",1
Citizenship and Immigration Services recently discovered that Strank never was given citizenship papers.,not_entailment
"However, it was still allowed to stand much to the dismay of the Cameroon players.",not_entailment
(CNN) -- Two goals in five minutes at the start of extra-time helped defending champions Egypt book their place in the African Nations Cup semifinals with a battling 3-1 victory over Cameroon.,1
"""The victim's consequential actions of reeling backwards and then forwards and your actions in response to that movement forward has to be seen against that background,"" he added.",not_entailment
"(CNN) -- Kyrgyzstan's president signed a bill Friday to close an air base that the U.S. military uses as a route for troops and supplies heading into Afghanistan, the president announced on his Web site.",1
"Oakley's attorney, Herb Moncier, said outside court Thursday that Oakley's job was to break rods ""into little pieces"" and throw them away.",not_entailment
"""I love my niece very much and while she has made some decisions that have not been in her best interest, she has my full support,"" Jackson said in a written statement.",1
Hleb had been expected to be part of the swap deal that saw Zlatan Ibrahimovic and Samuel Eto'o switch clubs earlier this week.,not_entailment
The teen was one of 19 victims -- children and young women -- in one of the most gruesome serial killings in India in recent years.,1
"Hundreds of Christians took to the streets in Mosul and surrounding villages and towns, demanding adequate representation on provincial councils, whose members will be chosen in the local elections.",not_entailment
"Radu Mazare, the mayor of the town of Constanta, wore a Nazi uniform during a fashion show over the weekend.",1
"All that remains of one of them is a skull, wrapped in a paper bag and stuffed into a bucket in the basement.",not_entailment
"Kellogg's ended its Michael Phelps endorsement, so it sent two tons of cereal with his face on it to a food bank.",not_entailment
"The teen, who is being referred to as Jane Doe, continues, ""I want to know who I am and what happened to me.""",not_entailment
Alexander Hleb is presented to the media after completing his loan move to former club Stuttgart.,not_entailment
"He was someone who could see what was going to happen 50 years in advance, and very often, he was able to bring his vision to reality and share it with the entire musical community.",not_entailment
"Hundreds of Christians took to the streets in Mosul and surrounding villages and towns, demanding adequate representation on provincial councils, whose members will be chosen in the local elections.",not_entailment
"The game, though, was marred by a controversial third goal by midfielder Ahmed Hassan which was allowed to stand by referee Jerome Damon despite replays showing the ball had clearly not crossed the line.",not_entailment
"Police originally said authorities wanted to take the man in for further testing after his bag set off suspicions, but he ran.",not_entailment
"Gadhafi called for world unity in confronting various world crises, such as climate change and food shortages, but he aimed his ire at the world body and the United States.",1
"WASHINGTON (CNN) -- A soldier who reported for duty with her children in tow has been granted her request for a discharge, her lawyer said Monday.",1
"""If we are unable to do that on reasonable terms then, as I have suggested, we are developing alternative methods to get resupply and people into Afghanistan.""",not_entailment
"The Allahabad high court has acquitted Moninder Singh Pandher, his lawyer Sikandar B. Kochar told CNN.",not_entailment
