prompt,prompt_len,target
How many passenger trips were made by tram in Melbourne between 2013-2014? | Melbourne is currently building 50 new E Class trams with some already in service in 2014.,47,1
"How many plant species does Brazil's Atlantic Forest contain? | Brazil's Atlantic Forest is considered one such hotspot, containing roughly 20,000 plant species, 1,350 vertebrates, and millions of insects, about half of which occur nowhere else.[citation needed]",61,0
"What does a language need to share with the group in order to be classified as Germanic? | Within the Indo-European language tree, Dutch is grouped within the Germanic languages, which means it shares a common ancestor with languages such as English, German, and Scandinavian languages.",55,0
When were the Frankfurt proposals made? | The Allies offered peace terms in the Frankfurt proposals in November 1813.,26,0
"Which view treats intellectual property as another type of ""real"" property? | The stated objective of most intellectual property law (with the exception of trademarks) is to ""Promote progress.""",37,1
"Who created the first version of the US Air Force in 1907? | The National Security Act of 1947 was signed on on 26 July 1947 by President Harry S Truman, which established the Department of the Air Force, but it was not not until 18 September 1947, when the first secretary of the Air Force, W. Stuart Symington was sworn into office that the Air Force was officially formed.",99,1
"Approximately how many people visited New Jersey's casinos in 2011? | Atlantic City is considered as the ""Gambling Capital of the East Coast,"" and currently has eight large casinos and several smaller ones.",44,1
"What philosophical movement appeared during 800-200 BCE? | During the time between 800 and 200 BCE the Shramana-movement formed, from which originated Jainism and Buddhism.",47,0
"Near what village were the 93rd Highlanders posted at? | At the start of the battle, a large body of Russian cavalry charged the 93rd Highlanders, who were posted north of the village of Kadikoi.",48,0
"What kind of disease is AIDS? | The most well-known disease that affects the immune system itself is AIDS, an immunodeficiency characterized by the suppression of CD4+ (""helper"")",38,0
What team did Jeff Foley play for? | The book details a journalist's two preseasons (1999 and 2000) as an offensive specialist/writer with the now-defunct Albany Firebirds.,48,0
"What is another name for Ārūpyadhātu? | Rebirths in the Ārūpyadhātu (formless realms) can be attained by only those who can meditate on the arūpajhānas, the highest object of meditation.",54,0
"Who occupied Korea south of the 38th parallel? | In August 1945, the Soviet Union declared war on Japan and—by agreement with the United States—occupied Korea north of the 38th parallel.",49,1
"Who suggested the use of brightly coloured scagliola and blue and pink lapis? | The original early 19th-century interior designs, many of which survive, include widespread use of brightly coloured scagliola and blue and pink lapis, on the advice of Sir Charles Long.",58,0
"What is an example of what states retain authority over? | Though international relations including international treaties are primarily the responsibility of the federal level, the constituent states have certain limited powers in this area: in matters that affect them directly, the states defend their interests at the federal level through the Bundesrat (literally Federal Council, the upper house of the German Federal Parliament) and in areas where they have legislative authority they have limited powers to conclude international treaties ""with the consent of the federal government"".",98,1
What can constitute accounting fraud when nothing is recorded? | Resource mismanagement is a particular problem with NPOs because the employees are not accountable to anybody with a direct stake in the organization.,38,1
"Who became president on June 12, 1991? | On June 12, 1990, the Congress of People's Deputies adopted the Declaration of State Sovereignty.",44,1
What are the most often found rocks in Antarctica? | The most common rocks in West Antarctica are andesite and rhyolite volcanics formed during the Jurassic period.,33,0
"What sort of capacitors are used to carry a varying signal from the conductive plate of one tube to the grid circuit of the next stage? | In many vacuum tube circuits, interstage coupling capacitors are used to conduct a varying signal from the plate of one tube to the grid circuit of the next stage.",61,0
"What Texas city was Dell's headquarters previously in? | Dell previously had its headquarters in the Arboretum complex in northern Austin, Texas.",28,0
"What symbol is popular in Marian Art? | And a number of Marian devotions also involve the presence of the Virgin Mary in Calvary, e.g., Pope John Paul II stated that ""Mary was united to Jesus on the Cross"".",48,1
Neo-Georgain style was common in Britain until the end of which decade? | The revived Georgian style that emerged in Britain at the beginning of the 20th century is usually referred to as Neo-Georgian; the work of Edwin Lutyens includes many examples.,57,1
"When was Ireland's police force established? | Meanwhile, the authorities in Glasgow, Scotland successfully petitioned the government to pass the Glasgow Police Act establishing the City of Glasgow Police in 1800.",42,1
"What do the structure of a contempory traditional orchestra consist of? | To fill this gap in the literature, mandolin orchestras have traditionally played many arrangements of music written for regular orchestras or other ensembles.",43,1
"What mode of transportation took over from the canals? | Canal traffic peaked in the 1860s and slowly gave way to railroads, allowing Richmond to become a major railroad crossroads, eventually including the site of the world's first triple railroad crossing.",53,0
"What prevented BBC2 from broadcasting on its scheduled launch date? | The channel was due to launch on 20 April 1964, but was put off the air by a massive power failure that affected much of London, caused by a fire at Battersea Power Station.",58,0
What philosophy influenced the RCC? | The influence of Nasser's Arab nationalism over the RCC was immediately apparent.,23,0
Is the observation deck in The Rialto currently opened or closed? | It has an observation deck near the top from where you can see above all of Melbourne's structures.,36,1
Which type of family do scholars generally believe Virgil belonged to? | Analysis of his name has led to beliefs that he descended from earlier Roman colonists.,30,1
What office of NARA oversees the declassification of classified materials? | Its Information Security Oversight Office monitors and sets policy for the U.S. government's security classification system.,37,0
"When was the Kralice Bible published? | A biblical translation, the Kralice Bible, was published during the late sixteenth century (around the time of the King James and Luther versions) which was more linguistically conservative than either.",47,0
"Who was the governor of Florida in 2011? | By 2014, a private project known as All Aboard Florida by a company of the historic Florida East Coast Railway began construction of a higher-speed rail line in South Florida that is planned to eventually terminate at Orlando International Airport.",64,1
"What organization has produced annual masquerade balls in Oslo since 1988? | Since 1988, the student organization Tårnseilerne has produced annual masquerade balls in Oslo, with masks, costumes and processions after attending an opera performance.",53,0
"How many fire bombs were dropped per minute? | Probably the most devastating strike occurred on the evening of 29 December, when German aircraft attacked the City of London itself with incendiary and high explosive bombs, causing a firestorm that has been called the Second Great Fire of London.",58,1
"The National Pet Owner Survey reported how many people had pet dogs in America between 2009 and 2010? | According to statistics published by the American Pet Products Manufacturers Association in the National Pet Owner Survey in 2009–2010, it is estimated there are 77.5 million people with pet dogs in the United States.",78,0
"How many days does the Spoleto Festival USA run each year? | The annual Piccolo Spoleto festival takes place at the same time and features local performers and artists, with hundreds of performances throughout the city.",44,1
"When was the activity of desktop publishing first used? | In 1985, the combination of the Mac, Apple's LaserWriter printer, and Mac-specific software like Boston Software's MacPublisher and Aldus PageMaker enabled users to design, preview, and print page layouts complete with text and graphics—an activity to become known as desktop publishing.",75,0
"Where do the European pied flycatcher breed? | The European pied flycatcher Ficedula hypoleuca also follows this migratory trend, breeding in Asia and Europe and wintering in Africa.",39,0
In what century was the Newer Orthography created? | Modern Estonian orthography is based on the Newer Orthography created by Eduard Ahrens in the second half of the 19th century based on Finnish orthography.,45,0
"How many princes of Dharma were assigned by the Ming court? | According to Wang Jiawei and Nyima Gyaincain, leading officials of these organs were all appointed by the central government and were subject to the rule of law.",47,1
"What was created in 2001 to give students comic scholarships? | Comics studies courses have proliferated at Japanese universities, and Japan Society for Studies in Cartoon and Comics (ja)[l] was established in 2001 to promote comics scholarship.",54,0
When did Menzies resign from Parliament? | Menzies went on to resign from parliament on 26 January 1966.,29,0
What types of film were produced in the Nazi era? | German cinema dates back to the very early years of the medium with the work of Max Skladanowsky.,35,1
"What was the goal of US and coalition airstrikes in Syria? | The US intervened with airstrikes in Iraq over ISIL held territories and assets in August, and in September a coalition of US and Middle Eastern powers initiated a bombing campaign in Syria aimed at degrading and destroying ISIL and Al-Nusra-held territory.",67,0
"What nearly was known as the original 'Christian faith'? | In the region the ""Pravoslav faith"" (православная вера - Orthodox faith) or ""Russian faith"" (русская вера) from earliest times became almost as known as the original ""Christian faith"" (христианская, крестьянская вера).",69,0
"In what economic field of study does Hayek's views differ from those in macroeconomics? | Hayek's work on the microeconomics of the choice theoretics of investment, non-permanent goods, potential permanent resources, and economically-adapted permanent resources mark a central dividing point between his work in areas of macroeconomics and that of almost all other economists.",72,0
"When did Estonia unite with the WTO? | With assistance from the European Union, the World Bank and the Nordic Investment Bank, Estonia completed most of its preparations for European Union membership by the end of 2002 and now has one of the strongest economies of the new member states of the European Union.[citation needed]",66,1
"What opened the door to plant genetic engineering? | These technologies enable the biotechnological use of whole plants or plant cell cultures grown in bioreactors to synthesise pesticides, antibiotics or other pharmaceuticals, as well as the practical application of genetically modified crops designed for traits such as improved yield.",58,1
"What was the British Indian Army mostly composed of? | In the following decades the Company gradually increased the size of the territories under its control, either ruling directly or via local rulers under the threat of force from the British Indian Army, the vast majority of which was composed of Indian sepoys.",60,0
"Who introduced Nasser and his wife? | She was introduced to Nasser through her brother, Abdel Hamid Kazim, a merchant friend of Nasser's, in 1943.",37,0
"Generally speaking, what percentage of music on easy listening stations was instrumental? | The easy listening format, as it was first known, was born of a desire by some radio stations in the late 1950s and early 1960s to continue playing current hit songs but distinguish themselves from being branded as ""rock and roll"" stations.",73,1
"What was The Sun's stance toward the EU? | The paper showed hostility to the EU and approval of public spending cuts, tax cuts, and promotion of right-wing ministers to the cabinet, with leaders such as ""More of the Redwood, not Deadwood"".",55,0
"Avoiding the strength of Ottoman trade was accomplished with the discovery of what? | The Somali Muslim Ajuran Empire, allied with the Ottomans, defied the Portuguese economic monopoly in the Indian Ocean by employing a new coinage which followed the Ottoman pattern, thus proclaiming an attitude of economic independence in regard to the Portuguese.",62,1
"How did Boganda die? | MESAN continued to exist, but its role was limited.",20,1
"Who first used the term Serbo-Croatian in 1824? | As such, the term Serbo-Croatian was first used by Jacob Grimm in 1824, popularized by the Vienna philologist Jernej Kopitar in the following decades, and accepted by Croatian Zagreb grammarians in 1854 and 1859.",78,0
"What must a Tuvaluan have to be considered for a work permit in New Zealand? | Tuvaluans also have access to seasonal employment in the horticulture and viticulture industries in New Zealand under the Recognised Seasonal Employer (RSE) Work Policy introduced in 2007 allowing for employment of up to 5,000 workers from Tuvalu and other Pacific islands.",79,1
What confirms the dimeric structure of the compound? | The diamagnetic nature of the ion confirms its dimeric structure.,25,0
"When did the Pregones' new theater open? | The Bronx is home to several Off-Off-Broadway theaters, many staging new works by immigrant playwrights from Latin America and Africa.",39,1
"What career path did Jon Savage take in life? | Writer Jon Savage described some of these early developments as exploring ""harsh urban scrapings [,] controlled white noise"" and ""massively accented drumming"".",42,0
"Who is the most well know kef artist? | Richard Hagopian is perhaps the most famous artist of the traditional ""kef"" style and the Vosbikian Band was notable in the 1940s and 1950s for developing their own style of ""kef music"" heavily influenced by the popular American Big Band Jazz of the time.",76,0
What did Mac's lack in 1984 and have no means to easily attach? | It also lacked a hard disk drive or the means to easily attach one.,37,0
"What empire was Guinea-Bissau once part of? | Guinea-Bissau has a history of political instability since independence, and no elected president has successfully served a full five-year term.",38,1
"Along with Barbra Streisand, the Carpenters, Dionne Warwick, Barry Manilow and Olivia Newton-John, what adult contemporary staple found it more difficult to score chart hits in the 1980s? | Mainstream AC itself has evolved in a similar fashion over the years; traditional AC artists like Barbra Streisand, the Carpenters, Dionne Warwick, Barry Manilow, John Denver, and Olivia Newton-John found it harder to have major Top 40 hits as the 1980s wore on, and due to the influence of MTV, artists who were staples of the Contemporary Hit Radio format, such as Richard Marx, Michael Jackson, Bonnie Tyler, George Michael, Phil Collins, and Laura Branigan began crossing over to the AC charts with greater frequency.",165,0
"What does the Shimonoseki Strait divide? | ""Bakufu"" means ""tent government"", taken from the encampments the soldiers would live in, in accordance with the Bakufu's status as a military government.",46,1
Who initially rejected the Japanese laws mandating military service? | The Japanese government began modelling their ground forces after the French military.,26,1
"Who was the subject of an early June 2013 front page story? | On 2 June 2013, The Sun on Sunday ran a front page story on singer-songwriter Tulisa Contostavlos.",49,0
"Where were surface-to-air missiles first developed? | The development of surface-to-air missiles began in Nazi Germany during the late World War II with missiles such as the Wasserfall, though no working system was deployed before the war's end, and represented new attempts to increase effectiveness of the anti-aircraft systems faced with growing threat from [bomber]s.",76,0
"What religious practice did Rome use to determine ritual? | The Latin word templum originally referred not to the temple building itself, but to a sacred space surveyed and plotted ritually through augury: ""The architecture of the ancient Romans was, from first to last, an art of shaping space around ritual.""",62,0
"What year did Oleg conquer the Drevlians? | In 880-82, Oleg led a military force south along the Dnieper river, capturing Smolensk and Lyubech before reaching Kiev, where he deposed and killed Askold and Dir, proclaimed himself prince, and declared Kiev the ""mother of Rus' cities.""",71,1
"When was Two Stars for Peace published? | The American State of Canaan, is a book published by Prof. Alfred de Grazia, political science and sociologist, in March 2009, proposing the creation of the 51st and 52nd states from Israel and the Palestinian territories.",63,1
"When did the Great Fire of London occur? | Few structures in central London pre-date the Great Fire of 1666, these being a few trace Roman remains, the Tower of London and a few scattered Tudor survivors in the City.",51,0
"What was the death sentence reduced to? | "" The FBI allowed four innocent men to be convicted of the March 1965 gangland murder of Edward ""Teddy"" Deegan in order to protect Vincent Flemmi, an FBI informant.",51,1
"What was the name of the famous school during the high middle ages? | During the High Middle Ages, Chartres Cathedral operated the famous and influential Chartres Cathedral School.",33,0
Why is the use of rifles often banned? | Regulations may also limit or ban the use of lead in ammunition because of environmental concerns.,28,1
"Many adaptations of the instruments were done to cater to what type of music? | As there is no concept of absolute pitch in Indian classical music, any convenient tuning maintaining these relative pitch intervals between the strings can be used.",45,1
"To what city did the Tulsa Talons relocate? | The Tulsa Talons moved to San Antonio, Texas and Jeffrey Vinik became owner of the Tampa Bay Storm.",34,0
Why was the lawsuit eventually dismissed? | The coalition asked for a civil rights investigation into what they described as Harvard's discriminatory admission practices against Asian-American applicants.,34,1
"What is the name of the spy and hero in Ian Fleming's books? | In the James Bond series by Ian Fleming, James Bond, reads The Times.",34,0
"Who was featured on the copper - nickel dollar? | In 2000, a new $1 coin, featuring Sacagawea, (the Sacagawea dollar) was introduced, which corrected some of the problems of the Anthony dollar by having a smooth edge and a gold color, without requiring changes to vending machines that accept the Anthony dollar.",74,1
"Who had a large impact on the Renaissance? | In the 14th century, much of the Greek peninsula was lost by the Byzantine Empire at first to the Serbs and then to the Ottomans.",42,1
"Give three examples of target organisms of pesticides. | Pesticides can be classified by target organism (e.g., herbicides, insecticides, fungicides, rodenticides, and pediculicides - see table), chemical structure (e.g., organic, inorganic, synthetic, or biological (biopesticide), although the distinction can sometimes blur), and physical state (e.g. gaseous (fumigant)).",84,0
"When did John Melody, the town crier of Southampton, pass away? | The city has a Mayor and is one of the 16 cities and towns in England and Wales to have a ceremonial sheriff who acts as a deputy for the Mayor.",51,1
"The final product of reconstruction is known as what? | ""If we succeed in establishing the text of [the archetype], the constitutio (reconstruction of the original) is considerably advanced.",39,0
What historic trail does the Farmington Canal Trail follow? | The scenic trail follows the path of the historic New Haven and Northampton Company and the Farmington Canal.,31,0
"The repression of what is also considered political corruption? | Corruption may facilitate criminal enterprise such as drug trafficking, money laundering, and human trafficking, though is not restricted to these activities.",37,1
"What was the estimated net State Domestic Product of New Delhi for 2010? | As of 2013, the per capita income of Delhi was Rs.",37,1
"What type of axioms were used by von Neumann in his lattice work? | Anyone wishing to get an unforgettable impression of the razor edge of von Neumann's mind, need merely try to pursue this chain of exact reasoning for himself—realizing that often five pages of it were written down before breakfast, seated at a living room writing-table in a bathrobe.""",74,1
"How much in yen did the Super Famicom cost in Japan? | It was an instant success; Nintendo's initial shipment of 300,000 units sold out within hours, and the resulting social disturbance led the Japanese government to ask video game manufacturers to schedule future console releases on weekends.",64,1
"What percentage of the population is economically active | Population growth is higher than the national average, with a 6.4% increase, in the Somerset County Council area, since 1991, and a 17% increase since 1981.",56,1
"What do peasants make up the vast majority of in the world? | The second area was concerned with the vast majority of the world's population at the time, the peasantry, many of whom were involved in complex revolutionary wars such as in Vietnam.",51,0
"What is the exponential dependence of a reaction rate on temperature? | The speed of a chemical reaction (at given temperature T) is related to the activation energy E, by the Boltzmann's population factor e−E/kT – that is the probability of molecule to have energy greater than or equal to E at the given temperature",66,1
What happens in the stomach after the food is chewed and mixed with starches? | The stomach continues to break food down mechanically and chemically through churning and mixing with both acids and enzymes.,38,0
How many ethnic minorities were looked at differently in Santa Monica? | The two ethnic minorities were often viewed differently by White Americans who were often well-disposed towards the Japanese but condescending towards the Chinese.,40,0
"How many children did August von Hayek and his wife have? | As her mother died several years prior to Friedrich's birth, Felicitas gained a significant inheritance which provided as much as half of her and August's income during the early years of their marriage.",54,1
"Who started the Hussite movement? | After his execution, a revolt erupted.",17,1
"Who would improvise musical ornaments in the Baroque era? | In the Baroque era, organ performers would improvise preludes, keyboard performers playing harpsichord would improvise chords from the figured bass symbols beneath the bass notes of the basso continuo part and both vocal and instrumental performers would improvise musical ornaments.",61,0
"How many Egyptians died in the battle for Port Said? | Between 750 and 1,000 Egyptians were killed in the battle for Port Said.",35,0
Who says genetic tests can't tell the difference between different Native American nations? | Geneticists acknowledge that DNA testing cannot yet distinguish among members of differing cultural Native American nations.,37,0
"Who served as High Commissioner of North Africa after Darlan's death? | His primary objective was to move forces successfully into Tunisia, and intending to facilitate that objective, he gave his support to François Darlan as High Commissioner in North Africa, despite Darlan's previous high offices of state in Vichy France and his continued role as commander-in-chief of the French armed forces.",79,1
"What is the most used antihypertensive drug today? | In the mid-1950s Karl H. Beyer, James M. Sprague, John E. Baer, and Frederick C. Novello of Merck and Co. discovered and developed chlorothiazide, which remains the most widely used antihypertensive drug today.",68,0
What was the one ingredient of traditional English ale? | The practice of adding hops to produce beer was introduced from the Netherlands in the early 15th century.,34,1
"What is typical in Czech as other Latin European languages? | Proper nouns, honorifics, and the first letters of quotations are capitalized, and punctuation is typical of other Latin European languages.",39,0
"What races are considered to be the of the the national races in Burma ? | The Burmese regime has attempted to forcibly expel Rohingya and bring in non-Rohingyas to replace them—this policy has resulted in the expulsion of approximately half of the 800,000 Rohingya from Burma, while the Rohingya people have been described as ""among the world's least wanted"" and ""one of the world's most persecuted minorities.""",94,1
What airport provides service to the City to Charleston? | Charleston Executive Airport is a smaller airport located in the John's Island section of the city of Charleston and is used by noncommercial aircraft.,40,1
"In opposition to conservatives, what group has Hayek's work influenced? | However, Whiggery as a political doctrine had little affinity for classical political economy, the tabernacle of the Manchester School and William Gladstone.",43,1
"Although not communist, what about Nasser concerned pro-western groups? | In January 1957, the US adopted the Eisenhower Doctrine and pledged to prevent the spread of communism and its perceived agents in the Middle East.",46,1
"Using fluxes and chemical additives during the alloying process does what? | These impurities are often found in the base metals or the solutes, but they may also be introduced during the alloying process.",41,1
"What is the name of the footballer who refused to be a part of the relay? | Indian national football captain, Baichung Bhutia refused to take part in the Indian leg of the torch relay, citing concerns over Tibet.",47,0
"The algorithm defining artificial viscosity is a fundamental contribution to what area? | For example, with Robert D. Richtmyer he developed an algorithm defining artificial viscosity that improved the understanding of shock waves.",40,1
"What is considered central to the teachings of Buddhism? | These four truths explain the nature of dukkha (suffering, anxiety, unsatisfactoriness), its causes, and how it can be overcome.",42,1
"Can a unborn child face issues with stress than can affect their future abilities? | Although the stress is applied prenatally, the offspring show increased levels of glucocorticoids when they are subjected to stress later on in life.",45,0
"What city made owing dogs illegal in 2015? | Islamic activists in Lérida, Spain, lobbied for dogs to be kept out of Muslim neighborhoods, saying their presence violated Muslims' religious freedom.",46,1
"Which architect other than Calatrava has helped Valencia's reputation? | The various productions of Santiago Calatrava, a renowned structural engineer, architect, and sculptor and of the architect Félix Candela have contributed to Valencia's international reputation.",50,0
During which month in 1862 did Union forces capture Memphis? | The Capture of Memphis and Nashville gave the Union control of the western and middle sections; this control was confirmed at the Battle of Murfreesboro in early January 1863 and by the subsequent Tullahoma Campaign.,62,1
"What era did Kanxi's rule kick off? | Even though Oboi's loyalty was never an issue, his personal arrogance and political conservatism led him into an escalating conflict with the young emperor.",42,1
"How did critics characterize Kennedy in comparison to Eisenhower? | Despite his unprecedented use of Army troops to enforce a federal desegregation order at Central High School in Little Rock, Eisenhower was criticized for his reluctance to support the civil rights movement to the degree that activists wanted.",54,1
When was the first British Mont Blanc ascent? | The first British Mont Blanc ascent was in 1788; the first female ascent in 1819.,36,0
"What other beginnings of origination do some of the last names of the Greeks share ? | Although surnames in mainland Greece are static today, dynamic and changing patronymic usage survives in middle names where the genitive of father's first name is commonly the middle name (this usage having been passed on to the Russians).",65,1
"How many people work in Tamar Science Park? | Several employers have chosen to locate their headquarters in Plymouth, including Hemsley Fraser.",28,1
"Where is the Valais located? | Some of the valleys are quite arid such as the Aosta valley in Italy, the Maurienne in France, the Valais in Switzerland, and northern Tyrol.",41,0
What are the two areas this court has supremacy over? | It only reviews cases that may be unconstitutional or final habeas corpus pleads for criminal cases.,31,0
"What is the name of the second Digimon series? | As of 2011, there have been six series — Digimon Adventure, the follow-up sequel Digimon Adventure 02, Digimon Tamers, Digimon Frontier, Digimon Data Squad and Digimon Fusion.",61,0
"Who invented the first permanent photograph? | Photography came to occupy a central role in Parisian Surrealist activity, in the works of Man Ray and Maurice Tabard.",33,1
"Were the pretend baptisms real? | After questioning Athanasius, Bishop Alexander informed him that the baptisms were genuine, as both the form and matter of the sacrament had been performed through the recitation of the correct words and the administration of water, and that he must not continue to do this as those baptized had not been properly catechized.",70,0
"What is Hokkien? | Besides Hokkien, there are also other Min and Hakka dialects in Fujian province, most of which are not mutually intelligible with Hokkien.",36,1
"During whose reign was the former town of Sutton referred to as Plymouth? | The settlement of Plympton, further up the River Plym than the current Plymouth, was also an early trading port, but the river silted up in the early 11th century and forced the mariners and merchants to settle at the current day Barbican near the river mouth.",75,1
"At its zenith, the imperialist forces controlled all but how many states in Mexico? | Maximilian was deeply dissatisfied with General Bazaine's decision to abandon the state capital of Chihuahua and immediately ordered Agustín B. Billaut to recapture the city.",50,1
"What term is sometimes used for dialects that only differ in vocabulary? | Where a distinction can be made only in terms of pronunciation (including prosody, or just prosody itself), the term accent may be preferred over dialect.",46,1
"What languages have terms for high mountains derived from alp? | The term may be common to Italo-Celtic, because the Celtic languages have terms for high mountains derived from alp.",37,0
"Who was recalled? | Later that day, Gorbachev hinted for the first time that he was considering stepping down.",23,1
For how many years is a Swazi student in junior secondary school? | The secondary and high school education system in Swaziland is a five-year programme divided into three years junior secondary and two years senior secondary.,43,0
"Who was at one time Laemmle's personal secretary? | Thalberg had been Laemmle's personal secretary, and Laemmle was impressed by his cogent observations of how efficiently the studio could be operated.",47,1
"What was Elizabeth's fathers title at the time of her birth? | Elizabeth was born at 02:40 (GMT) on 21 April 1926, during the reign of her paternal grandfather, King George V. Her father, Prince Albert, Duke of York (later King George VI), was the second son of the King.",75,0
"What are two airlines that considered implementing iPod connections but did not join the 2007 agreement? | Originally KLM and Air France were reported to be part of the deal with Apple, but they later released statements explaining that they were only contemplating the possibility of incorporating such systems.",57,0
How do speech perception and articulation findings and insights affect previous and more traditional ideas? | The findings and insights of speech perception and articulation research complicate the traditional and somewhat intuitive idea of interchangeable allophones being perceived as the same phoneme.,47,0
How much revenue did beer bring in in 2006? | The history of breweries has been one of absorbing smaller breweries in order to ensure economy of scale.,35,1
"What caused the HMS Prince to sink? | On 14 November a storm sank thirty allied transport ships including HMS Prince which was carrying a cargo of winter clothing.:435 The storm and heavy traffic caused the road from the coast to the troops to disintegrate into a quagmire, requiring engineers to devote most of their time to its repair including quarrying stone.",76,0
"How many aircraft did Britain produce in 1940? | The British produced 10,000 aircraft in 1940, in comparison to Germany's 8,000.",46,0
For what department does the north campus location of Washington University provide off-site storage? | The North Campus location also provides off-site storage space for the Performing Arts Department.,36,0
"What major cities later adopted Tucson's city council public funding system? | Since 1985, both mayoral and council candidates have been eligible to receive matching public funds from the city.",40,1
