prompt,prompt_len,target
Leonard B. Jordan,5,1
Johannes Lichtenberger,4,0
William J. Lewis,5,1
Onesimus,3,0
Heinrich Lichner,4,0
Jacques de Créquy,5,0
Grace Hopper,3,1
Zhong Hui,3,0
Friedrich Hoffmann,3,0
Grace Kelly,3,1
Ptolemy Keraunos,7,0
Alexander Scultetus,5,0
Jim Morrison,3,1
Beulah Louise Henry,5,1
Michael Chekhov,4,1
Peter Faneuil,5,1
Dave Arneson,5,1
Woody Guthrie,3,1
Michelangelo Tilli,5,0
Helen Blanchard,3,1
John McCain,3,1
Jackson Pollock,3,1
Max Amann,4,0
Major Holley,4,1
Childebert III,5,0
"Otto I, Count of Waldeck",8,0
Gian-Francesco de Maineri,7,0
"Jobst Herman, Count of Schaumburg",9,0
"James FitzJames, 1st Duke of Berwick",11,0
Katharine Burr Blodgett,7,1
Arnaud de Nîmes,5,0
Erasmus,3,0
Lucienne de Rochefort,7,0
Robert Mitchum,4,1
John Belushi,4,1
Marcos Criado,4,0
Otto Stern,3,1
Johann Thiel,3,0
Ivan Fuqua,4,1
Annette Abbott Adams,4,1
Samuel Clarke,3,0
Martha Washington,3,1
Karl Heinrich Graf,4,0
Josef Georg Hörl,5,0
Ferdinando di Castiglia,6,0
Ruth Roman,3,1
Stanley Cohen,3,1
Suzy Covey,5,1
Edwin Conklin,4,1
Kurt Rudolph,3,0
Oliver Sutton,3,0
Lyndon B. Johnson,6,1
Frances E. Allen,5,1
Robert Altman,3,1
Charles Griffin,3,1
Douglas Shearer,3,1
Elisha E. Meredith,6,1
Rosa Parks,3,1
Empress Feng Run,5,0
Henry Lee Lucas,4,1
Kenny Rogers,3,1
James Buchanan,3,1
Paul Hindemith,5,1
Theobald Schweinpeck,7,0
Xiahou Zi,4,0
Bertrand de Comps,5,0
Helen Keller,3,1
Werner Wolfgang Rogosinski,6,0
Sjoerd Wiarda,6,0
Wernher von Braun,6,1
Ono no Komachi,6,0
Kurt Vonnegut,5,1
Geoffrey of Paris,4,0
Richard de Percy,4,0
Stefan Štiljanović,6,0
"Gunning Bedford, Jr.",7,1
Abner Nash,4,1
Catherine Birgersdotter of Bjelbo,10,0
Mary Lee Woods,4,0
Rod Milburn,4,1
James G. Clinton,5,1
Bálint Bakfark,7,0
Jacopo I Appiano,6,0
Elias Hardy,3,0
John Lee Hooker,4,1
Johannes Andenæs,5,0
Johnny Nash,3,1
Heinrich II,3,0
Henry Middleton,3,1
Giovanni Antonio Pandolfi Mealli,8,0
Linda Lovelace,4,1
John R. Neill,5,1
Ellsworth Vines,4,1
Adam de Stratton,4,0
Chet Baker,4,1
Heinrich II. von Sternberg,7,0
Josephine Hull,4,1
"Jordan, Archbishop of Milan",6,0
Walter Kaufmann,3,1
Martin of Tours,4,0
Meredith Colket,4,1
Ding Yunpeng,4,0
Emperor Shang of Tang,5,0
Jacob Baradaeus,5,0
Milton Friedman Correa,4,1
King Vidor,4,1
Václav Březan,6,0
John Doeg,4,1
Innocent III,4,0
Dirk van Hodenpyl,6,0
"Charles Francis Adams, Sr.",7,1
Vasile Lupu,5,0
"John I, Count of Hainaut",8,0
Parry O'Brien,6,1
Paul von Rusdorf,5,0
Milton A. Rothman,6,1
Amber Rayne,4,1
Bhaskar Ramchandra Tambe,7,0
James Joseph Dresnok,5,1
송금강,4,0
John the Deacon,4,0
"John Cornwall, 1st Baron Fanhope",10,0
Enrico Fermi,3,1
Miloš Forman,4,1
Frank Lloyd Wright,4,1
Edgar Alexander Mearns,6,1
Myrtle Bachelder,5,1
Marinus II of Naples,6,0
Frederic Lewy,5,1
Terry Callier,4,1
Elijah Brigham,3,1
Lluís Borrassà,7,0
Wu Shi,3,0
William Denning,4,1
Guido Pierleone,5,0
Hugues de Montcornet,7,0
"Gustav Horn, Count of Pori",8,0
Qian Weijun,6,0
Solomon Porcius Sharp,5,1
Marc-Joseph Marion du Fresne,8,0
Yury of Moscow,5,0
Diego Ortiz,3,0
Annette Abbott Adams,4,1
Frank Sinatra,3,1
James Brown,3,1
Helmut Hirsch,3,0
John Huston,3,1
Blind Lemon Jefferson,4,1
Abu'l-Faraj ibn al-Jawzi,12,0
James I of Aragon,5,0
Yang Zhu,3,0
Gervase of Melkley,8,0
Tycho Brahe,5,0
Claude Parisot,4,0
Claude Chantelou,5,0
André de Luxembourg,4,0
Lucile Quarry Mann,5,1
Duchess Maria Dorothea of Württemberg,8,0
Gonzalo Osorio,4,0
Bettie Page,4,1
Jean-Denis Cochin,5,0
Gar Samuelson,4,1
Edward Lasker,4,1
Dmitry of Pereslavl,6,0
Carl W. Ackerman,5,1
Filippo Azzaiolo,6,0
Jewell James Ebers,5,1
Sikong Shu,4,0
William Anderson Coffin,4,1
Chiang Kai-shek,7,0
Frank Lloyd Wright,4,1
Irene Angelina,3,0
George H. W. Bush,7,1
Jacob Read,3,1
Gábor Béla Fodor,6,1
Roman Włodzimierzowic,8,0
Fritz Müller,3,0
Johann Hermann Schein,4,0
Marco Barbarigo,4,0
Léonce d'Arles,7,0
Titus Hosmer,4,1
Giovanni Battista Galestruzzi,6,0
"Edward de Vere, 17th Earl of Oxford",12,0
Kenny Rogers,3,1
James Buchanan,3,1
Ludwig III. von Arnstein,7,0
Giacomo Illirico,6,0
Willoughby Newton,4,1
Mary Macaulay,3,1
Carl Laemmle,5,1
Caradog ap Meirion,7,0
Wilhelm August Lampadius,6,0
蕭匹敵,4,0
Margaret Dreier Robins,5,1
Gaozhao,4,0
Emperor Qianfei of Liu Song,7,0
Herbert Hoover,3,1
James Buchanan,3,1
John Kerr,3,1
Abigail Adams,3,1
Ulrich of Zell,4,0
"Jordan, Archbishop of Milan",6,0
Whitney Houston,3,1
Walter de Coventre,5,0
Dankmar Adler,4,1
Fred Sersen,4,1
John Davies,3,1
Harry Earles,4,1
Johann Schweikhard von Kronberg,8,0
Agnes Randolph,3,0
Lillian Moller Gilbreth,8,1
Harriet Williams Russell Strong,5,1
Anna Margarete von Braunschweig-Harburg,9,0
楠木正季,5,0
John Rogers,3,0
Álvaro Herrameliz,6,0
Karl Ludwig Philipp Zeyher,6,0
Blanche of Lancaster,5,0
Elisabeth Schumann,3,1
Richard Courant,3,1
Johann Adolf Schlegel,4,0
Heinrich Adam,3,0
Ralph Barton Perry,4,1
Jacob Crocheron,4,1
James Lent,3,1
Margaret Sambiria,5,0
Johann Heinrich Merck,4,0
Alan Nunnelee,5,1
Marcel Breuer,4,1
Suzy Covey,5,1
Eberhard von Sayn,7,0
Johannes IX.,4,0
"Ernest Augustus II, Duke of Saxe-Weimar-Eisenach",14,0
Matilda II,4,0
Henry A. Edmundson,6,1
Bartholomäus Kranepul,8,0
Hans Kotter,4,0
Saint Alena,4,0
Henry Nicholas Bolander,5,1
Ira Remsen,4,1
Francesco Laurana,4,0
Anton LaVey,4,1
Frank Lloyd,3,1
Hans von Ahlefeldt,6,0
Lu Chengqing,4,0
Georg Heym,4,0
"Achard II, Count of Lecce",8,0
Robert F. Kennedy,5,1
Eduard Seler,5,0
Mildred Dresselhaus,6,1
"William de Braose, 4th Lord of Bramber",13,0
Vincente Minnelli,5,1
Richard Feynman,3,1
Jean E. Sammet,6,1
Juan Trippe,4,1
Jean-Antoine-Nicolas de Caritat de Condorcet,12,0
Johann Christian Bach,4,0
Kong Rong,3,0
Václav Havel,4,0
Ephraim Chambers,4,0
Anselm of Canterbury,6,0
Adolf II of Holstein,5,0
Ludwig von Siegen,5,0
Margaret Hutchinson Rousseau,4,1
John Wayne,3,1
Harvey Milk,3,1
Ludwig von Ravensberg,5,0
Alan Nunnelee,5,1
Ernst Bogislaw von Croÿ,8,0
Sandy Berger,3,1
Abigail Adams,3,1
Jean E. Sammet,6,1
Niccolò de' Conti,7,0
Élie Catherine Fréron,6,0
Johannes Kelpius,4,1
Chen Tao,3,0
Countess Juliane of Nassau-Dillenburg,10,0
Kate Gleason,3,1
Ernst von Rüchel,5,0
Gilles Binchois,5,0
Betty Holberton,4,1
Frederick Gehring,4,1
Georges Lagrange,3,0
Gregorio Correr,5,0
Gaucher V de Châtillon,7,0
Anton LaVey,4,1
Theresa of León,4,0
Neill S. Brown,5,1
Heinrich Schliemann,5,1
Jacquetta of Luxembourg,6,0
Lady Hester Stanhope,5,0
"Joseph I, Holy Roman Emperor",7,0
Saul Alinsky,4,1
Wernher von Braun,6,1
Francis Daniel Pastorius,5,1
Emile Berliner,3,1
Ida Rolf,3,1
Nijō Kanemoto,7,0
James Buchanan,3,1
Bogdan I of Moldavia,7,0
Pilgrim,3,0
Stephen Bocskay,5,0
William Thomas Hamilton,4,1
"Charles Anthony, Prince of Hohenzollern",9,0
Solomon Burke,3,1
"Simon V, Count of Lippe",8,0
Jacob Ziegler,3,0
Charles Lewis Gazin,5,1
Chongzhen Emperor,4,0
Chuck Berry,3,1
Georg Fürst,3,0
Quentin Smith,3,1
Michel Corneille the Younger,6,0
William Prince,3,1
Karl Hoffmann,3,0
Han Xiu,3,0
Cottius,3,0
William M. Mann,5,1
Søren Tybring,5,0
Alexander Stewart,3,0
Glaucus of Carystus,6,0
Bobby Riggs,3,1
Dina Merrill,3,1
Stephen Gardiner,3,0
Max Gerson,4,1
Nicholas IV of Constantinople,5,0
Karl Freund,3,1
Abdul Majid Hassan of Brunei,7,0
Margaret of Lorraine,4,0
Roger de Clifford,4,0
Girolamo Aleandro,5,0
D. W. Griffith,6,1
Edward Lasker,4,1
Leonard B. Jordan,5,1
Emily Dickinson,3,1
Thomas Conrad Porter,4,1
Zhou Chi,3,0
"Matilda of England, Duchess of Saxony",9,0
Vincente Minnelli,5,1
Franklin Delano Roosevelt,4,1
Margaret Hutchinson Rousseau,4,1
Daniel Buck,3,1
Hermann August Hagen,4,1
Karl Freund,3,1
Johannes,2,0
Lita Grey,4,1
Alfons Gorbach,5,0
Empress Fu Shou,5,0
Robert III of Scotland,5,0
Carl Friedrich Ernst Frommann,6,0
Jim Fitzgerald,3,1
Altoman Vojinović,7,0
Francis Hyacinth,4,0
Georg Heym,4,0
Matilda of Brabant,5,0
Samuel W. Lewis,5,1
Henry Lee Lucas,4,1
Joseph Mendelssohn,3,0
John Steinbeck,4,1
"Blanche of France, Duchess of Orléans",10,0
Ivory Joe Hunter,4,1
Everard des Barres,6,0
Athanasios II de Jérusalem,8,0
German Goldenshteyn,6,1
Hieronymus Schulz,4,0
Karl Freund,3,1
"John I, Duke of Bavaria",7,0
"Frederick XI, Count of Hohenzollern",9,0
George A. Romero,5,1
Paul Hindemith,5,1
Raimondo della Torre,6,0
Phil Spector,3,1
Ludwig von Wallmoden-Gimborn,9,0
Joyce K. Reynolds,5,1
Xuande Emperor,5,0
Ahmad ibn Khidhrawayh,8,0
Edwin Müller,3,1
Charles Laughton,4,1
Solomon Porcius Sharp,5,1
Gottfried VI.,5,0
Walter Savitch,4,1
Michael Hastings,3,1
Gao Ang,3,0
"John Ernest, Duke of Saxe-Eisenach",10,0
Patsy O'Connell Sherman,7,1
Frank Gorshin,5,1
"James Murray, 2nd Duke of Atholl",12,0
Giacomo da Itri,6,0
Conrad of Querfurt,5,0
John Hancock,3,1
"Eleanor of Naples, Duchess of Ferrara",8,0
司马德戡,4,0
Ellsworth Vines,4,1
Zhi Dun,3,0
Man Ray,3,1
"Robert VI, Count of Auvergne",7,0
Henry A. Edmundson,6,1
Len Wein,3,1
Aisha,3,0
Marko Mrnjavčević,7,0
"Louis, Count of Leiningen-Westerburg",11,0
Nicholas Bayard,3,1
Diana de Andaló Beata,8,0
Yang Shen,3,0
Al Oerter,5,1
Guillaume de Sonnac,5,0
Clifford Herschel Moore,4,1
William Shippen,4,1
Loretta de Braose,6,0
Elisabeth of Nuremberg,4,0
Hedy Lamarr,5,1
Anna J. Harrison,5,1
Carl H. Eigenmann,6,1
Frank Lloyd,3,1
John Steinbeck,4,1
Vincent du Vigneaud,6,1
Salomon Idler,5,0
William I of Baux,6,0
Christopher Hitchens,4,1
Philip Agee,4,1
Tupac Shakur,5,1
William the Silent,4,0
Cuthbert Powell,5,1
Inge II of Norway,6,0
Bettie Page,4,1
Hank Mizell,4,1
William Thomas Hamilton,4,1
Henry Crocheron,4,1
Clotilde,3,0
Zhuge Shuang,5,0
Florence Griffith,3,1
Philippe de Champaigne,6,0
Mária Telkes,5,1
David Fabricius,4,0
Stan Getz,4,1
Carmen Hermosillo,5,1
Fadrique Enríquez,7,0
Leven Powell,3,1
Johann Strote,4,0
Johannes Tegen,4,0
Tabitha Babbitt,5,1
Demetrius I Starshy,7,0
Jean I. de Neufchâtel,8,0
Martin Zeiler,4,0
Thomas Dudley,3,1
Max August Zorn,4,1
Giacomo Angelini,5,0
Kathleen Antonelli,4,1
Howard Hawks,3,1
Claes Corneliszoon Moeyaert,9,0
Stanley Cohen,3,1
Carl Gustav Hempel,5,1
Þorgils Gellirsson,8,0
Henry Gunther,3,1
Eduard von Rindfleisch,6,0
Rita Hayworth,4,1
Samuel Morse,3,1
Karl Philipp Moritz,4,0
Thomas Alva Edison,4,1
Edward Teller,3,1
Eazy-E,5,1
Paul Mattick,4,0
István Várday,6,0
George Gamow,4,1
Henry Morgenthau,5,1
Nicolas Roger de Beaufort,5,0
Nicholas Cooke,3,1
Albert King,3,1
"Anne of Bohemia, Duchess of Silesia",9,0
Francis Lieber,3,1
Charles Sands,3,1
Bruno Nettl,4,1
Henry Redford,4,0
Tabitha Babbitt,5,1
Choe Ui,4,0
Carl Gustav Jacob Jacobi,5,0
Aaliyah,4,1
"Dietrich IX, Count of Mark",8,0
Franklin Pierce,3,1
Sophie of Mecklenburg-Güstrow,8,0
Conrad Vetter,4,0
Walter Kaufmann,3,1
Dietmar von Aist,6,0
Heinrich von Tanne,5,0
Gustave Whitehead,4,1
William de Vesci,5,0
Addison S. McClure,5,1
Solomon Burke,3,1
Michael Curtiz,4,1
Phil Spector,3,1
Giovanni Battista Piranesi,5,0
Paul Newman,3,1
Bud Abbott,3,1
Florence Griffith,3,1
Allen G. Debus,6,1
Marlene Dietrich,3,1
William Jack,3,0
Charles de La Cerda,6,0
Paul Phrygio,4,0
Margareta Bosdotter,7,0
Yuan Tan,3,0
Jacob Albright,3,1
Lothar von Richthofen,7,0
Jude Milhon,4,1
"Murrough O'Brien, 1st Earl of Inchiquin",15,0
Julius von Mohl,5,0
"William II, Princely count of Henneberg-Schleusingen",14,0
John VII,3,0
Kari Fornjotsson,6,0
Jean de Meun,5,0
Stanley Kubrick,4,1
Hans von Hallwyl,5,0
Edmund H. Hansen,5,1
Archer Martin,3,0
Xu Shao,3,0
Julius Adams Stratton,4,1
Louis King,3,1
John Piatrowski,5,1
Calvin Coolidge,3,1
Thomas Watson,3,1
